year_m,ff4_hf,us_cpi,us_ip,exp_cpi_12m,gs1,gs10,ebpnew,CPI_raw,us_cpi_inf,us_cpi_annualized,cpi_inf_annualized,ffr,c,unemp,ppi_inf,ppi_inf_annualizes,MP_shock,GK_inst,food,housing,apparel,transport,medical,recreation,educ_comm,core_cpi
01/01/1990,0,484.81165,61.644,4.7766666,7.9200001,8.21,0.2929,127.5000173,0.94565,140.0770655,10.90821033,8.23,47.94,5.4,1.681415929,22.15156133,0,0,129.4,126.1,119.9,117,156,,,132.1
01/02/1990,-0.02,485.20303,62.2108,4.2336421,8.1099997,8.4700003,0.42629999,128.0000046,0.39138,133.09781,4.390425043,8.24,47.698,5.3,-0.43516101,-5.098746414,-0.000904511,-0.015,130.5,126.2,122,117.2,157.1,,,132.7
01/03/1990,-0.02,485.67068,62.5068,4.3737841,8.3500004,8.5900002,0.45930001,128.5999985,0.46765,134.7406596,5.266136486,8.28,47.859,5.2,-0.174825175,-2.077847054,-0.000567742,-0.0075806,130.7,126.8,123.8,117.3,158.3,,,133.5
01/04/1990,0,485.90369,62.3597,4.4858141,8.3999996,8.79,0.078199998,128.8999987,0.23301,131.9348295,2.59318123,8.26,47.95,5.4,-0.087565674,-1.04574212,0,-0.0174194,130.6,127.1,124.1,117.7,159.6,,,134
01/05/1990,0,486.05872,62.5474,4.6016026,8.3199997,8.7600002,0.096000001,129.0999874,0.15503,131.1152877,1.718610536,8.18,47.916,5.4,0.438212095,5.387154508,-0.002014064,0,130.9,127.3,124,117.5,160.8,,,134.4
01/06/1990,0,486.67648,62.7541,4.5264492,8.1000004,8.4799995,0.2115,129.8999839,0.61776,138.1488553,7.009193502,8.29,48.068,5.2,-0.261780105,-3.096524587,0,0,131.8,128.1,124.2,118,162,,,135.1
01/07/1990,-0.1,487.13733,62.6497,4.4923077,7.9400001,8.4700003,0.17299999,130.5000096,0.46085,136.6389229,5.187790443,8.15,48.166,5.5,0.174978128,2.120063308,-0.051017404,-0.0664516,132.5,128.7,124.2,118.5,163.4,,,135.8
01/08/1990,0,487.97672,62.8761,4.5213766,7.7800002,8.75,-0.1038,131.6000238,0.83939,143.068114,9.630730653,8.13,48.181,5.7,1.746724891,23.09637512,-0.015929114,-0.0335484,132.9,129.7,124.5,120.7,164.8,,,136.6
01/09/1990,0,488.65826,62.896,4.9386668,7.7600002,8.8900003,0.092399999,132.499994,0.68154,141.8091702,7.757708565,8.2,48.158,5.9,1.630901288,21.42533891,0,0,133.3,130.2,125.4,123.2,165.9,,,137.1
01/10/1990,-0.029990001,489.33521,62.506,5.1972828,7.5500002,8.7200003,0.31510001,133.3999955,0.67695,142.7073726,7.703682309,8.11,47.889,5.9,2.027027027,27.22802419,0.020021871,-0.011281,133.8,130.6,125.4,125.6,167.3,,,137.6
